restaurant_url,Label 1,Label 2,Label 3,Label 4,Label 5
https://www.yelp.com/biz/torchys-tacos-fayetteville-2,$$,3.6,"Tacos, Tex-Mex","1541 MLK Jr Blvd Fayetteville, AR 72701","Mon: 10:00 AM - 10:00 PM, Tue: 10:00 AM - 10:00 PM, Wed: 10:00 AM - 10:00 PM, Thu: 10:00 AM - 10:00 PM, Fri: 10:00 AM - 11:00 PM, Sat: 10:00 AM - 11:00 PM, Sun: 10:00 AM - 10:00 PM"
https://www.yelp.com/biz/charlies-bakery-anchorage,Unclaimed,4.2,"Bakeries, Dim Sum, Soup","2729 C St Anchorage, AK 99503","Mon: 11:00 AM - 8:30 PM, Tue: 11:00 AM - 8:30 PM, Wed: 11:00 AM - 8:30 PM, Thu: 11:00 AM - 8:30 PM, Fri: 11:00 AM - 8:30 PM, Sat: 11:00 AM - 8:30 PM, Sun: Closed"
https://www.yelp.com/biz/haute-quarter-grill-anchorage,$$$,4.4,"New American, Seafood, Bars","525 W 4th Ave Anchorage, AK 99501",
https://www.yelp.com/biz/club-paris-anchorage,,,,,
https://www.yelp.com/biz/f-street-station-anchorage,,,,,
https://www.yelp.com/biz/great-harvest-bread-anchorage-anchorage,,,,,
https://www.yelp.com/biz/anchorage-museum-anchorage-2,4.4,Museums,"625 C St Anchorage, AK 99501","Mon: Closed, Tue: 10:00 AM - 6:00 PM, Wed: 10:00 AM - 6:00 PM, Thu: 10:00 AM - 6:00 PM, Fri: 10:00 AM - 9:00 PM, Sat: 10:00 AM - 6:00 PM, Sun: 12:00 PM - 6:00 PM",
https://www.yelp.com/biz/ginger-anchorage,,,,,
https://www.yelp.com/biz/tommys-burger-stop-anchorage,$$,4.5,Burgers,"1106 W 29th Pl Anchorage, AK 99503","Mon: 10:30 AM - 9:00 PM, Tue: 10:30 AM - 9:00 PM, Wed: 10:30 AM - 9:00 PM, Thu: 10:30 AM - 9:00 PM, Fri: 10:30 AM - 9:00 PM, Sat: 11:00 AM - 9:00 PM, Sun: 12:00 PM - 6:00 PM"
https://www.yelp.com/biz/orso-anchorage,,,,,
https://www.yelp.com/biz/pho-lena-anchorage,$$,4.1,"Vietnamese, Thai, Laotian","3311 Spenard Rd Anchorage, AK 99503","Mon: 11:00 AM - 10:00 PM, Tue: 11:00 AM - 10:00 PM, Wed: 11:00 AM - 10:00 PM, Thu: 11:00 AM - 10:00 PM, Fri: 11:00 AM - 10:00 PM, Sat: 11:00 AM - 10:00 PM, Sun: Closed"
https://www.yelp.com/biz/pedros-mexican-grill-anchorage,Unclaimed,4.3,Mexican,"1565 Bragaw St Ste 103 Anchorage, AK 99508","Mon: 11:00 AM - 12:00 AM (Next day), Tue: 11:00 AM - 12:00 AM (Next day), Wed: 11:00 AM - 12:00 AM (Next day), Thu: 11:00 AM - 12:00 AM (Next day), Fri: 11:00 AM - 12:00 AM (Next day), Sat: 11:00 AM - 12:00 AM (Next day), Sun: Closed"
https://www.yelp.com/biz/napolis-pizza-anchorage,$,4.0,"Pizza, Diners, Salad","1565 Bragaw St Anchorage, AK 99508","Mon: Closed, Tue: 11:00 AM - 10:30 PM, Wed: 11:00 AM - 10:30 PM, Thu: 11:00 AM - 10:30 PM, Fri: 11:00 AM - 10:30 PM, Sat: 11:00 AM - 10:30 PM, Sun: 11:00 AM - 9:00 PM"
https://www.yelp.com/biz/dami-anchorage,$$,3.7,"Japanese, Korean, Sushi Bars","642 E 5th Ave Anchorage, AK 99501","Mon: 11:00 AM - 9:30 PM, Tue: Closed, Wed: 11:00 AM - 9:30 PM, Thu: 11:00 AM - 9:30 PM, Fri: 11:00 AM - 10:30 PM, Sat: 12:00 PM - 10:30 PM, Sun: 12:00 PM - 9:30 PM"
https://www.yelp.com/biz/pho-vietnam-anchorage,$$,3.7,Vietnamese,"3030 Denali St Unit 1 Anchorage, AK 99503","Mon: Closed, Tue: Closed, Wed: 10:00 AM - 9:00 PM, Thu: 10:00 AM - 9:00 PM, Fri: 10:00 AM - 9:00 PM, Sat: 10:00 AM - 9:00 PM, Sun: 11:00 AM - 9:00 PM"
https://www.yelp.com/biz/bear-tooth-grill-anchorage-2,Unclaimed,4.1,"Mexican, New American, Pubs","1230 W 27th Ave Ste A Anchorage, AK 99503","Mon: 11:00 AM - 9:00 PM, Tue: 11:00 AM - 9:00 PM, Wed: 11:00 AM - 9:00 PM, Thu: 11:00 AM - 9:00 PM, Fri: 11:00 AM - 10:00 PM, Sat: 10:00 AM - 10:00 PM, Sun: 10:00 AM - 9:00 PM"
https://www.yelp.com/biz/evas-cupcakery-anchorage,Unclaimed,4.0,"Bakeries, Cupcakes, Desserts","3048 Moutain View Dr Ste 116 Anchorage, AK 99501","Mon: Closed, Tue: 11:00 AM - 6:00 PM, Wed: 11:00 AM - 6:00 PM, Thu: 11:00 AM - 6:00 PM, Fri: 11:00 AM - 6:00 PM, Sat: 11:00 AM - 6:00 PM, Sun: Closed"
https://www.yelp.com/biz/bombay-deluxe-indian-restaurant-anchorage-2,$$,3.5,Indian,"555 W Northern Lights Blvd 102 Ste 102 Anchorage, AK 99503","Mon: 11:00 AM - 9:00 PM, Tue: 11:00 AM - 9:00 PM, Wed: 11:00 AM - 9:00 PM, Thu: 11:00 AM - 9:00 PM, Fri: 11:00 AM - 9:00 PM, Sat: 11:00 AM - 9:00 PM, Sun: 11:00 AM - 9:00 PM"
https://www.yelp.com/biz/twin-dragon-mongolian-bar-b-q-anchorage,Unclaimed,3.7,"Chinese, Barbeque","612 E 15th Ave Anchorage, AK 99501","Mon: Closed, Tue: 11:00 AM - 9:00 PM, Wed: 11:00 AM - 9:00 PM, Thu: 11:00 AM - 9:00 PM, Fri: 11:00 AM - 10:00 PM, Sat: 11:00 AM - 10:00 PM, Sun: 12:00 PM - 9:00 PM"
https://www.yelp.com/biz/fletchers-anchorage,$$,3.9,"New American, Bars","939 W 5th Ave Anchorage, AK 99501","Mon: 11:30 AM - 12:00 AM (Next day), Tue: 11:30 AM - 12:00 AM (Next day), Wed: 11:30 AM - 12:00 AM (Next day), Thu: 11:30 AM - 12:00 AM (Next day), Fri: 11:30 AM - 12:00 AM (Next day), Sat: 11:30 AM - 12:00 AM (Next day), Sun: 11:30 AM - 12:00 AM (Next day)"
https://www.yelp.com/biz/serranos-mexican-grill-anchorage-3,$$,3.7,Mexican,"2514 E Tudor Rd Anchorage, AK 99507","Mon: 11:00 AM - 10:00 PM, Tue: 11:00 AM - 10:00 PM, Wed: 11:00 AM - 10:00 PM, Thu: 11:00 AM - 10:00 PM, Fri: 11:00 AM - 10:00 PM, Sat: 11:00 AM - 10:00 PM, Sun: 12:00 PM - 9:00 PM"
https://www.yelp.com/biz/mythai-downtown-restaurant-anchorage,$$,4.0,Thai,"333 W 4th Ave Ste 228 Anchorage, AK 99501","Mon: 11:00 AM - 9:00 PM, Tue: 11:00 AM - 9:00 PM, Wed: Closed, Thu: 11:00 AM - 9:00 PM, Fri: 11:00 AM - 9:00 PM, Sat: 12:00 PM - 9:00 PM, Sun: 12:00 PM - 9:00 PM"
https://www.yelp.com/biz/sushi-ya-anchorage,$$,3.7,"Sushi Bars, Japanese, Wine Bars","3501 Old Seward Hwy Anchorage, AK 99503","Mon: 12:00 PM - 10:00 PM, Tue: 12:00 PM - 10:00 PM, Wed: 12:00 PM - 10:00 PM, Thu: 12:00 PM - 10:00 PM, Fri: 12:00 PM - 10:00 PM, Sat: 12:00 PM - 10:00 PM, Sun: 12:00 PM - 10:00 PM"
